ts,total_money,stock_money,remain_money,stock_revenue,market_open,invest_cnt,is_cut,cut_cnt,exposure_rate,peak_money
2026-02-26 14:36:26,10036327.0,24510.0,10011817.0,5580.0,1,0,0,0,1.22,8530933.2
2026-02-26 14:50:14,10036317.0,24500.0,10011817.0,5570.0,1,0,0,0,1.22,8530933.2
