weekday,n,net,avg,wr
Monday,10,-167.82893364273278,-16.782893364273278,40.0
Tuesday,9,-178.73409664966238,-19.859344072184708,33.33333333333333
Wednesday,12,-415.55758875141635,-34.62979906261803,16.666666666666664
Thursday,8,-166.92120833863504,-20.86515104232938,37.5
Friday,18,-698.8873624240779,-38.82707569022655,33.33333333333333
Saturday,3,-102.80028133725173,-34.26676044575058,33.33333333333333
Sunday,2,-33.22858395035935,-16.614291975179675,50.0
