opening_bucket,trades,wins,losses,win_rate,net_pnl,avg_trade_pnl
00_30,15,11,4,73.33,-59.501785714281134,-3.966785714285409
30_60,16,10,6,62.5,46.269642857152206,2.891852678572013
60_90,23,17,6,73.91,42.88214285714349,1.8644409937888475
90_120,21,15,6,71.43,240.63750000000582,11.458928571428848
