date,trades,wins,losses,win_rate,gross_pnl,net_pnl,avg_trade_pnl
2026-03-23,1,1,0,100.0,46.125,43.725,43.725
2026-03-24,4,3,1,75.0,6.335714285713038,-3.264285714286963,-0.8160714285717408
2026-03-25,4,3,1,75.0,11.73750000000291,2.137500000002909,0.5343750000007272
2026-03-26,3,2,1,66.67,-5.651785714282596,-12.851785714282594,-4.2839285714275315
2026-03-27,2,2,0,100.0,19.75,14.95,7.475
2026-03-30,5,4,1,80.0,125.8267857142855,113.8267857142855,22.765357142857102
2026-03-31,5,5,0,100.0,222.375,210.375,42.075
2026-04-01,5,3,2,60.0,-34.539285714279686,-46.539285714279686,-9.307857142855937
2026-04-02,7,4,3,57.14,-61.11428571428405,-77.91428571428408,-11.130612244897724
2026-04-06,2,1,1,50.0,-71.87142857143044,-76.67142857143045,-38.33571428571523
2026-04-07,2,2,0,100.0,152.625,147.825,73.9125
2026-04-08,5,4,1,80.0,18.267857142855064,6.267857142855069,1.2535714285710138
2026-04-09,5,5,0,100.0,55.625,43.625,8.725
2026-04-10,6,4,2,66.67,4.757142857146391,-9.642857142853602,-1.607142857142267
2026-04-13,3,3,0,100.0,103.0,95.80000000000001,31.933333333333337
2026-04-14,4,2,2,50.0,-23.33392857142462,-32.933928571424616,-8.233482142856154
2026-04-15,6,3,3,50.0,-24.160714285710128,-38.56071428571012,-6.42678571428502
2026-04-16,4,1,3,25.0,-79.61785714285361,-89.2178571428536,-22.3044642857134
2026-04-17,2,1,1,50.0,-15.848214285717404,-20.6482142857174,-10.3241071428587
