date,code,name,buy_date,buy_price,first_money,sell_price,revenue_rate,return_money,win,buy_dt,RSI,prevRSI,Disparity20,Disparity11,prev_range_pct,gap_pct,ma20_before,ma60_before,ma120_before,prevChangeMa,is_jung,prev_close_at_buy,above_ma60,above_ma20,RSI_bucket,Disp20_bucket
2025-03-11,251340,KODEX 코스닥150선물인버스,2025-03-05,3712.0,2550144.0,3916.5,5.200895743534484,2686599.5467499997,True,2025-03-05,48.36158261882696,51.06667822507755,101.64404120335631,103.3678102926337,1.476510067114094,-0.9395973154362416,3664.75,3915.4166666666665,3857.7916666666665,-0.003082587939338345,False,3725.0,False,True,45-55,100-102
2025-03-14,251340,KODEX 코스닥150선물인버스,2025-03-13,3843.0,6829011.0,3840.0,-0.3779469164715004,6813444.48,False,2025-03-13,62.518673998845536,59.333307185279104,104.60535253362315,103.26749573274812,1.8181818181818181,-0.9090909090909091,3680.5,3884.25,3859.625,0.0018761907703762168,False,3850.0,False,True,55-70,102-105
2025-04-01,251340,KODEX 코스닥150선물인버스,2025-03-18,3748.0,3144572.0,4113.25,9.430579642475998,3445840.224875001,True,2025-03-18,46.71295025023983,48.28150792522268,101.2298959318827,98.59980852082336,2.53671562082777,-0.9345794392523363,3699.5,3864.25,3854.625,0.0013237743179212833,False,3745.0,False,True,45-55,100-102
2025-04-03,251340,KODEX 코스닥150선물인버스,2025-04-02,4125.0,7004250.0,4233.25,2.3203060606060633,7177276.41225,True,2025-04-02,64.50495823969968,61.81269326710042,104.63397390577799,103.0498331223386,3.6855036855036856,-0.12285012285012285,3889.75,3827.5833333333335,3872.125,0.0045721978814952146,False,4070.0,True,True,55-70,102-105
2025-04-11,251340,KODEX 코스닥150선물인버스,2025-04-08,4273.0,7114545.0,4134.75,-3.530578633278722,6874032.211874999,False,2025-04-08,67.16353143164042,71.71467216393204,109.48721179286885,106.57821384769761,2.761795166858458,-2.761795166858458,3968.5,3835.8333333333335,3891.4166666666665,0.006326789686503945,False,4345.0,True,True,55-70,>105
2025-05-21,251340,KODEX 코스닥150선물인버스,2025-05-20,4026.0,5640426.0,4003.5,-0.8580290611028243,5600490.14475,False,2025-05-20,57.09493393251629,56.09981694356826,102.56084387113174,102.37573520931842,2.2304832713754648,-1.1152416356877324,3934.25,3907.8333333333335,3943.5833333333335,-0.00035879384378669236,False,4035.0,True,True,55-70,102-105
2025-05-26,251340,KODEX 코스닥150선물인버스,2025-05-22,4049.2,5110090.399999999,3974.0,-2.1543712338239556,5007665.218,False,2025-05-22,53.5514464586688,52.798640109071336,101.4906438312718,101.09132682366455,1.825,0.5,3941.25,3922.3333333333335,3944.3333333333335,0.0008800166327081963,False,4000.0,True,True,45-55,100-102
2025-06-02,251340,KODEX 코스닥150선물인버스,2025-05-27,3980.0,3613840.0,3870.75,-3.0408574120602916,3509369.0385000003,False,2025-05-27,46.50130235012692,49.004071486509254,100.24681982153028,99.67963386727689,1.893939393939394,-0.25252525252525254,3950.25,3943.5833333333335,3942.1666666666665,0.0011361654994884527,True,3960.0,True,True,45-55,100-102
2025-07-09,251340,KODEX 코스닥150선물인버스,2025-07-08,3675.0,2098425.0,3605.75,-2.1815272108843544,2055794.925125,False,2025-07-08,43.43576896293994,45.0615993743737,100.21307306344079,100.55172413793103,2.05761316872428,0.0,3637.25,3851.4166666666665,3843.625,-0.0013078039934259836,False,3645.0,False,True,30-45,100-102
2025-08-25,251340,KODEX 코스닥150선물인버스,2025-08-21,3536.0,6456736.0,3435.75,-3.130871747737554,6264268.98075,False,2025-08-21,56.215663174000184,54.45680964681209,102.17596972563861,102.50896057347671,1.8518518518518516,0.0,3435.25,3574.75,3756.0,0.0015635957111646824,False,3510.0,False,True,55-70,102-105
2025-09-04,251340,KODEX 코스닥150선물인버스,2025-09-01,3501.0,6382323.0,3437.5,-2.111046843758926,6257162.65625,False,2025-09-01,54.098878149864504,50.37661271087338,100.42750525324251,100.31583103039874,1.875901875901876,0.2886002886002886,3450.25,3524.75,3744.375,0.0006397693731832526,False,3465.0,False,True,45-55,100-102
