time,equity
2026-03-22 22:41:00+00:00,10000.0
2026-03-22 22:42:00+00:00,10000.0
2026-03-22 22:43:00+00:00,10000.0
2026-03-22 22:44:00+00:00,10000.0
2026-03-22 22:45:00+00:00,10000.0
2026-03-22 22:46:00+00:00,10000.0
2026-03-22 22:47:00+00:00,10000.0
2026-03-22 22:48:00+00:00,10000.0
2026-03-22 22:49:00+00:00,10000.0
2026-03-22 22:50:00+00:00,10000.0
2026-03-22 22:51:00+00:00,10000.0
2026-03-22 22:52:00+00:00,10000.0
2026-03-22 22:53:00+00:00,10000.0
2026-03-22 22:54:00+00:00,10000.0
2026-03-22 22:55:00+00:00,10000.0
2026-03-22 22:56:00+00:00,10000.0
2026-03-22 22:57:00+00:00,10000.0
2026-03-22 22:58:00+00:00,10000.0
2026-03-22 22:59:00+00:00,10000.0
2026-03-22 23:00:00+00:00,10000.0
2026-03-22 23:01:00+00:00,10000.0
2026-03-22 23:02:00+00:00,10000.0
2026-03-22 23:03:00+00:00,10000.0
2026-03-22 23:04:00+00:00,10000.0
2026-03-22 23:05:00+00:00,10000.0
2026-03-22 23:08:00+00:00,10004.725
2026-03-22 23:09:00+00:00,10004.725
2026-03-22 23:10:00+00:00,10004.725
2026-03-22 23:11:00+00:00,10004.725
2026-03-22 23:12:00+00:00,10004.725
2026-03-22 23:13:00+00:00,10004.725
2026-03-22 23:14:00+00:00,10004.725
2026-03-22 23:15:00+00:00,10004.725
2026-03-22 23:17:00+00:00,10008.575
2026-03-22 23:18:00+00:00,10008.575
2026-03-22 23:19:00+00:00,10008.575
2026-03-22 23:20:00+00:00,10008.575
2026-03-22 23:21:00+00:00,10008.575
2026-03-22 23:22:00+00:00,10008.575
2026-03-22 23:23:00+00:00,10008.575
2026-03-22 23:24:00+00:00,10008.575
2026-03-22 23:25:00+00:00,10008.575
2026-03-22 23:26:00+00:00,10008.575
2026-03-22 23:27:00+00:00,10008.575
2026-03-22 23:28:00+00:00,10008.575
2026-03-22 23:29:00+00:00,10008.575
2026-03-22 23:31:00+00:00,10019.425000000001
2026-03-22 23:32:00+00:00,10019.425000000001
2026-03-22 23:33:00+00:00,10019.425000000001
2026-03-22 23:34:00+00:00,10019.425000000001
2026-03-22 23:35:00+00:00,10019.425000000001
2026-03-22 23:39:00+00:00,10027.400000000001
2026-03-22 23:40:00+00:00,10027.400000000001
2026-03-22 23:41:00+00:00,10027.400000000001
2026-03-22 23:42:00+00:00,10027.400000000001
2026-03-22 23:43:00+00:00,10027.400000000001
2026-03-22 23:44:00+00:00,10027.400000000001
2026-03-22 23:45:00+00:00,10027.400000000001
2026-03-22 23:46:00+00:00,10027.400000000001
2026-03-22 23:47:00+00:00,10027.400000000001
2026-03-22 23:48:00+00:00,10027.400000000001
2026-03-22 23:49:00+00:00,10027.400000000001
2026-03-22 23:50:00+00:00,10027.400000000001
2026-03-22 23:51:00+00:00,10027.400000000001
2026-03-22 23:52:00+00:00,10027.400000000001
2026-03-22 23:53:00+00:00,10027.400000000001
2026-03-22 23:54:00+00:00,10027.400000000001
2026-03-22 23:55:00+00:00,10027.400000000001
2026-03-22 23:56:00+00:00,10027.400000000001
2026-03-22 23:57:00+00:00,10027.400000000001
2026-03-22 23:58:00+00:00,10027.400000000001
2026-03-22 23:59:00+00:00,10027.400000000001
2026-03-23 00:00:00+00:00,10027.400000000001
2026-03-23 00:01:00+00:00,10027.400000000001
2026-03-23 00:02:00+00:00,10027.400000000001
2026-03-23 00:03:00+00:00,10027.400000000001
2026-03-23 00:04:00+00:00,10027.400000000001
2026-03-23 00:05:00+00:00,10027.400000000001
2026-03-23 00:06:00+00:00,10027.400000000001
2026-03-23 00:07:00+00:00,10027.400000000001
2026-03-23 00:08:00+00:00,10027.400000000001
2026-03-23 00:09:00+00:00,10027.400000000001
2026-03-23 00:10:00+00:00,10027.400000000001
2026-03-23 00:11:00+00:00,10027.400000000001
