side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
SHORT,2026-03-23 08:50:00+00:00,2026-03-23 08:50:00+00:00,23937.75,23935.25,23959.974107142858,23935.25,1,target_25pct,5.0,2.6,0.026000000000000002
SHORT,2026-03-23 09:24:00+00:00,2026-03-23 09:24:00+00:00,23955.75,23950.0625,23974.589285714286,23950.0625,1,target_25pct,11.375,8.975,0.08975
LONG,2026-03-23 09:39:00+00:00,2026-03-23 09:39:00+00:00,23860.5,23879.75,23842.540178571428,23879.75,1,target_25pct,38.5,36.1,0.361
LONG,2026-03-23 09:42:00+00:00,2026-03-23 09:43:00+00:00,23886.25,23864.621428571427,23864.621428571427,23896.4375,2,stop,-43.25714285714639,-45.65714285714639,-0.4565714285714639
LONG,2026-03-23 09:57:00+00:00,2026-03-23 09:59:00+00:00,23866.25,23878.4375,23851.633035714287,23878.4375,3,target_25pct,24.375,21.975,0.21975000000000003
LONG,2026-03-23 10:27:00+00:00,2026-03-23 10:32:00+00:00,23863.0,23868.3125,23841.298214285714,23868.3125,6,target_25pct,10.625,8.225,0.08225
LONG,2026-03-23 10:43:00+00:00,2026-03-23 10:48:00+00:00,23852.25,23827.563392857144,23827.563392857144,23857.8125,6,stop,-49.37321428571158,-51.77321428571158,-0.5177321428571158
SHORT,2026-03-23 11:16:00+00:00,2026-03-23 11:24:00+00:00,24689.0,24511.9375,24799.6875,24511.9375,9,target_25pct,354.125,351.725,3.51725
SHORT,2026-03-23 11:37:00+00:00,2026-03-23 11:41:00+00:00,24631.75,24565.75,24690.661607142858,24565.75,5,target_25pct,132.0,129.6,1.2959999999999998
LONG,2026-03-23 11:50:00+00:00,2026-03-23 11:51:00+00:00,24495.25,24428.790178571428,24428.790178571428,24512.0625,2,stop,-132.91964285714494,-135.31964285714494,-1.3531964285714495
LONG,2026-03-23 12:04:00+00:00,2026-03-23 12:09:00+00:00,24407.0,24456.5625,24357.715178571427,24456.5625,6,target_25pct,99.125,96.725,0.9672499999999998
SHORT,2026-03-23 12:23:00+00:00,2026-03-23 12:30:00+00:00,24497.25,24469.1875,24524.973214285714,24469.1875,8,target_25pct,56.125,53.725,0.53725
SHORT,2026-03-23 12:55:00+00:00,2026-03-23 13:00:00+00:00,24589.75,24626.04375,24626.04375,24569.9375,6,stop,-72.58750000000146,-74.98750000000146,-0.7498750000000146
SHORT,2026-03-23 13:02:00+00:00,2026-03-23 13:02:00+00:00,24607.5,24594.5,24653.417857142857,24594.5,1,target_25pct,26.0,23.6,0.23600000000000002
SHORT,2026-03-23 14:26:00+00:00,2026-03-23 14:27:00+00:00,24662.0,24638.9375,24686.43125,24638.9375,2,target_25pct,46.125,43.725,0.43725
LONG,2026-03-23 15:45:00+00:00,2026-03-23 15:45:00+00:00,24537.75,24514.108035714286,24514.108035714286,24560.375,1,stop,-47.28392857142899,-49.683928571428986,-0.49683928571428987
LONG,2026-03-23 16:01:00+00:00,2026-03-23 16:08:00+00:00,24391.0,24441.5,24364.557142857142,24441.5,8,target_25pct,101.0,98.6,0.9859999999999999
