Date,Total_Money,Ror,Cum_Ror,Highwatermark,Drawdown,MaxDrawdown
2025-07-10,12016821.905448757,1.0110581124329394,1.2016821905448765,1.2442492002323762,-0.034211000239783074,-0.045067102199049525
2025-07-11,12271569.945448758,1.0211992856351222,1.2271569945448766,1.2442492002323762,-0.013736963370607258,-0.045067102199049525
2025-07-14,12383639.945448758,1.0091324908302841,1.2383639945448768,1.2442492002323762,-0.00472992523234117,-0.045067102199049525
2025-07-15,12306114.945448758,0.9937397243184148,1.2306114945448767,1.2442492002323762,-0.010960590278018656,-0.045067102199049525
2025-07-16,12775349.945448758,1.0381302305463627,1.2775349945448768,1.2775349945448768,0.0,-0.045067102199049525
2025-07-17,12973109.945448758,1.0154798107953553,1.2973109945448769,1.2973109945448769,0.0,-0.045067102199049525
2025-07-18,13471215.785448756,1.0383952531115905,1.3471215785448767,1.3471215785448767,0.0,-0.045067102199049525
2025-07-21,13504915.785448756,1.0025016301822143,1.3504915785448768,1.3504915785448768,0.0,-0.045067102199049525
2025-07-22,13461833.031448757,0.9968098465266685,1.3461833031448769,1.3504915785448768,-0.003190153473331514,-0.045067102199049525
2025-07-23,13461833.031448757,1.0,1.3461833031448769,1.3504915785448768,-0.003190153473331514,-0.045067102199049525
2025-07-24,13448714.966698758,0.9990255365135376,1.344871496669877,1.3504915785448768,-0.004161508271717906,-0.045067102199049525
2025-07-25,13215373.466698758,0.9826495319011673,1.321537346669877,1.3504915785448768,-0.021439772254039036,-0.045067102199049525
2025-07-28,13224763.466698758,1.000710536105821,1.3224763466698768,1.3504915785448768,-0.020744469880505156,-0.045067102199049525
2025-07-29,13140253.466698758,0.99360971557542,1.3140253466698768,1.3504915785448768,-0.027002191242311513,-0.045067102199049525
2025-07-30,13093303.466698758,0.9964270095611941,1.3093303466698767,1.3504915785448768,-0.03047870310998191,-0.045067102199049525
2025-07-31,13168423.466698758,1.0057372839628334,1.3168423466698769,1.3504915785448768,-0.02491628412170932,-0.045067102199049525
2025-08-01,12757249.451698758,0.9687757599806988,1.2757249451698767,1.3504915785448768,-0.05536253210520525,-0.05536253210520525
2025-08-04,12757249.451698758,1.0,1.2757249451698767,1.3504915785448768,-0.05536253210520525,-0.05536253210520525
2025-08-05,12757249.451698758,1.0,1.2757249451698767,1.3504915785448768,-0.05536253210520525,-0.05536253210520525
2025-08-06,12744812.332198758,0.9990250939634684,1.2744812332198765,1.3504915785448768,-0.05628346487498992,-0.05628346487498992
2025-08-07,12946949.332198758,1.0158603355413336,1.2946949332198763,1.3504915785448768,-0.04131580397200263,-0.05628346487498992
2025-08-08,12927969.332198758,0.9985340175887769,1.2927969332198763,1.3504915785448768,-0.042721218141297146,-0.05628346487498992
2025-08-11,12956439.332198758,1.0022022020062418,1.2956439332198764,1.3504915785448768,-0.04061309688735526,-0.05628346487498992
2025-08-12,13005751.032948758,1.0038059608419925,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-13,13005751.032948758,1.0,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-14,13005751.032948758,1.0,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-18,13005751.032948758,1.0,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-19,13005751.032948758,1.0,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-20,13005751.032948758,1.0,1.3005751032948762,1.3504915785448768,-0.03696170790178821,-0.05628346487498992
2025-08-21,13001364.624948759,0.9996627332024973,1.3001364624948764,1.3504915785448768,-0.03728650874243655,-0.05628346487498992
2025-08-22,12971166.624948759,0.99767732073739,1.2971166624948764,1.3504915785448768,-0.03952258340441528,-0.05628346487498992
2025-08-25,13061523.952073758,1.0069660139089731,1.3061523952073766,1.3504915785448768,-0.032831884361155805,-0.05628346487498992
2025-08-26,13061523.952073758,1.0,1.3061523952073766,1.3504915785448768,-0.032831884361155805,-0.05628346487498992
2025-08-27,13061523.952073758,1.0,1.3061523952073766,1.3504915785448768,-0.032831884361155805,-0.05628346487498992
2025-08-28,13058664.484073758,0.9997810770006247,1.3058664484073765,1.3504915785448768,-0.033043619705931615,-0.05628346487498992
2025-08-29,13035291.832073757,0.9982101805258489,1.3035291832073765,1.3504915785448768,-0.03477429706603663,-0.05628346487498992
2025-09-01,13030896.326573757,0.9996627996091975,1.3030896326573764,1.3504915785448768,-0.03509977155027866,-0.05628346487498992
2025-09-02,13013319.326573757,0.9986511288587144,1.3013319326573765,1.3504915785448768,-0.036401297622654316,-0.05628346487498992
2025-09-03,13009134.326573757,0.9996784064161514,1.3009134326573766,1.3504915785448768,-0.03671118478274371,-0.05628346487498992
2025-09-04,12966622.344323758,0.9967321436474709,1.2966622344323766,1.3504915785448768,-0.03985907425687174,-0.05628346487498992
2025-09-05,13056058.344323758,1.0068974014685599,1.3056058344323767,1.3504915785448768,-0.03323659682562663,-0.05628346487498992
2025-09-08,13148578.344323758,1.0070863653914524,1.3148578344323765,1.3504915785448768,-0.02638575810364907,-0.05628346487498992
2025-09-09,13189698.344323758,1.0031273342960116,1.3189698344323764,1.3504915785448768,-0.02334094089388128,-0.05628346487498992
2025-09-10,13251378.344323758,1.0046763768503124,1.3251378344323763,1.3504915785448768,-0.018773715079229536,-0.05628346487498992
2025-09-11,13282471.366823759,1.0023463991210635,1.3282471366823765,1.3504915785448768,-0.016471366586726988,-0.05628346487498992
2025-09-12,13583146.366823759,1.0226369770877888,1.3583146366823764,1.3583146366823764,0.0,-0.05628346487498992
2025-09-15,13995726.366823759,1.0303744058157032,1.3995726366823762,1.3995726366823762,0.0,-0.05628346487498992
2025-09-16,14033206.366823759,1.002677960330008,1.4033206366823763,1.4033206366823763,0.0,-0.05628346487498992
2025-09-17,14113847.123823758,1.005746424223522,1.411384712382376,1.411384712382376,0.0,-0.05628346487498992
2025-09-18,14090927.487073759,0.998376088634876,1.4090927487073759,1.411384712382376,-0.0016239113651240755,-0.05628346487498992
2025-09-19,14321472.98707376,1.0163612721881858,1.4321472987073762,1.4321472987073762,0.0,-0.05628346487498992
2025-09-22,14498922.987073762,1.0123904852636432,1.4498922987073763,1.4498922987073763,0.0,-0.05628346487498992
2025-09-23,14795230.940823762,1.0204365492536354,1.4795230940823763,1.4795230940823763,0.0,-0.05628346487498992
2025-09-24,14827465.940823764,1.002178742604893,1.4827465940823765,1.4827465940823765,0.0,-0.05628346487498992
2025-09-25,14654010.940823764,0.988301777209116,1.4654010940823765,1.4827465940823765,-0.01169822279088395,-0.05628346487498992
2025-09-26,14577260.940823764,0.9947625260885955,1.4577260940823764,1.4827465940823765,-0.016874427565611416,-0.05628346487498992
2025-09-29,14414705.208323764,0.9888486778716596,1.4414705208323764,1.4827465940823765,-0.02783757751643634,-0.05628346487498992
2025-09-30,14403907.188323764,0.9992509024746643,1.4403907188323766,1.4827465940823765,-0.028565821981343054,-0.05628346487498992
2025-10-01,14423027.188323764,1.0013274176062104,1.4423027188323767,1.4827465940823765,-0.027276323150166593,-0.05628346487498992
2025-10-02,14873147.694323763,1.0312084626980664,1.4873147694323767,1.4873147694323767,0.0,-0.05628346487498992
2025-10-10,15204311.694323763,1.0222658987059199,1.5204311694323767,1.5204311694323767,0.0,-0.05628346487498992
2025-10-13,15053713.172175936,0.9900950121797325,1.505371317217594,1.5204311694323767,-0.009904987820267497,-0.05628346487498992
2025-10-14,15276070.032788955,1.0147708979219827,1.5276070032788958,1.5276070032788958,0.0,-0.05628346487498992
2025-10-15,15264630.335288955,0.999251136092238,1.5264630335288958,1.5276070032788958,-0.0007488639077619652,-0.05628346487498992
2025-10-16,15671190.335288957,1.0266341202551177,1.567119033528896,1.567119033528896,0.0,-0.05628346487498992
2025-10-17,15942732.996788956,1.0173275070808456,1.594273299678896,1.594273299678896,0.0,-0.05628346487498992
2025-10-20,16452173.996788956,1.0319544334150617,1.645217399678896,1.645217399678896,0.0,-0.05628346487498992
2025-10-21,17027382.68466396,1.0349624729222575,1.7027382684663963,1.7027382684663963,0.0,-0.05628346487498992
2025-10-22,16825833.273663957,0.9881632183446766,1.6825833273663962,1.7027382684663963,-0.011836781655323425,-0.05628346487498992
2025-10-23,16735594.273663959,0.9946368777978299,1.6735594273663963,1.7027382684663963,-0.0171364217509955,-0.05628346487498992
