Date,Total_Money,Ror,Cum_Ror,Highwatermark,Drawdown,MaxDrawdown
2025-04-08,10939389.366569158,0.9990254102401248,1.0939389366569154,1.0950061184069155,-0.0009745897598751885,-0.0428721631863459
2025-04-09,11000994.366569158,1.0056314843485017,1.1000994366569155,1.1000994366569155,0.0,-0.0428721631863459
2025-04-10,10726269.366569158,0.9750272574600293,1.0726269366569154,1.1000994366569155,-0.024972742539970727,-0.0428721631863459
2025-04-11,10693155.098444156,0.996912787942077,1.0693155098444151,1.1000994366569155,-0.02798285844600501,-0.0428721631863459
2025-04-14,10825635.098444156,1.0123892339333296,1.0825635098444153,1.1000994366569155,-0.015940310692086124,-0.0428721631863459
2025-04-15,10867035.098444156,1.0038242560019366,1.0867035098444153,1.1000994366569155,-0.012177014518986451,-0.0428721631863459
2025-04-16,10876695.098444156,1.0008889269163568,1.0876695098444153,1.1000994366569155,-0.011298912078596568,-0.0428721631863459
2025-04-17,10811514.416444156,0.9940073081565628,1.0811514416444155,1.1000994366569155,-0.01722389302378058,-0.0428721631863459
2025-04-18,10958676.416444154,1.0136115991092023,1.0958676416444153,1.1000994366569155,-0.003846738641517855,-0.0428721631863459
2025-04-21,11046816.416444154,1.008042942108204,1.1046816416444154,1.1046816416444154,0.0,-0.0428721631863459
2025-04-22,10936018.226444155,0.9899701248012897,1.0936018226444155,1.1046816416444154,-0.010029875198710236,-0.0428721631863459
2025-04-23,11150218.226444155,1.01958665353008,1.1150218226444155,1.1150218226444155,0.0,-0.0428721631863459
2025-04-24,11203768.226444155,1.0048025965871232,1.1203768226444155,1.1203768226444155,0.0,-0.0428721631863459
2025-04-25,11228758.226444155,1.0022304995511258,1.1228758226444155,1.1228758226444155,0.0,-0.0428721631863459
2025-04-28,11162214.318944156,0.9940737963933283,1.1162214318944157,1.1228758226444155,-0.005926203606671732,-0.0428721631863459
2025-04-29,11153846.294444155,0.9992503257632493,1.1153846294444156,1.1228758226444155,-0.006671435121256675,-0.0428721631863459
2025-04-30,11028550.226319157,0.9887665595510842,1.1028550226319158,1.1228758226444155,-0.017829932401028925,-0.0428721631863459
2025-05-02,11034680.713819157,1.0005558742875713,1.1034680713819158,1.1228758226444155,-0.017283969314428438,-0.0428721631863459
2025-05-07,11188250.10756916,1.0139169766423493,1.1188250107569162,1.1228758226444155,-0.0036075332693151774,-0.0428721631863459
2025-05-08,11181090.10756916,0.9993600429083047,1.1181090107569163,1.1228758226444155,-0.0042451816945111576,-0.0428721631863459
2025-05-09,11181090.10756916,1.0,1.1181090107569163,1.1228758226444155,-0.0042451816945111576,-0.0428721631863459
2025-05-12,11241950.10756916,1.005443118641786,1.124195010756916,1.124195010756916,0.0,-0.0428721631863459
2025-05-13,11364383.25356916,1.01089073913587,1.1364383253569161,1.1364383253569161,0.0,-0.0428721631863459
2025-05-14,11361837.25356916,0.9997759667248814,1.1361837253569163,1.1364383253569161,-0.0002240332751184404,-0.0428721631863459
2025-05-15,11399037.25356916,1.0032741183639393,1.1399037253569164,1.1399037253569164,0.0,-0.0428721631863459
2025-05-16,11342983.49106916,0.9950825880069435,1.1342983491069165,1.1399037253569164,-0.0049174119930565086,-0.0428721631863459
2025-05-19,11269593.49106916,0.9935299209367815,1.1269593491069165,1.1399037253569164,-0.011355675011893496,-0.0428721631863459
2025-05-20,11277343.09206916,1.000687655770915,1.1277343092069165,1.1399037253569164,-0.010675828036433077,-0.0428721631863459
2025-05-21,11237407.23681916,0.9964587531900058,1.1237407236819166,1.1399037253569164,-0.014179269104449221,-0.0428721631863459
2025-05-22,11229742.101219159,0.9993178910901364,1.1229742101219164,1.1399037253569164,-0.014851706208521387,-0.0428721631863459
2025-05-23,11155031.70121916,0.9933470956566414,1.1155031701219167,1.1399037253569164,-0.02140580357113897,-0.0428721631863459
2025-05-26,11127316.91921916,0.9975154905210202,1.1127316919219168,1.1399037253569164,-0.02383713012824107,-0.0428721631863459
2025-05-27,11121896.15921916,0.9995128421308251,1.1121896159219167,1.1399037253569164,-0.024312675551895535,-0.0428721631863459
2025-05-28,11062876.15921916,0.994693350921904,1.1062876159219168,1.1399037253569164,-0.029490305792687854,-0.0428721631863459
2025-05-29,11022016.15921916,0.9963065662661378,1.1022016159219168,1.1399037253569164,-0.033074819036313485,-0.0428721631863459
2025-05-30,11028942.33671916,1.000628394787301,1.1028942336719167,1.1399037253569164,-0.03246720829288596,-0.0428721631863459
2025-06-02,10866601.37521916,0.9852804596720475,1.0866601375219167,1.1399037253569164,-0.04670884623903526,-0.04670884623903526
2025-06-04,11102660.755219162,1.0217233863513504,1.110266075521917,1.1399037253569164,-0.026000134200561242,-0.04670884623903526
2025-06-05,11094337.97521916,0.9992503796897434,1.1094337975219168,1.1399037253569164,-0.02673026428215164,-0.04670884623903526
2025-06-09,11385897.97521916,1.0262800719295953,1.1385897975219168,1.1399037253569164,-0.0011526656205884667,-0.04670884623903526
2025-06-10,11464337.97521916,1.0068892238601401,1.146433797521917,1.146433797521917,0.0,-0.04670884623903526
2025-06-11,11519097.97521916,1.0047765514344018,1.151909797521917,1.151909797521917,0.0,-0.04670884623903526
2025-06-12,11604937.97521916,1.0074519723840067,1.1604937975219172,1.1604937975219172,0.0,-0.04670884623903526
2025-06-13,11675977.97521916,1.0061215320712353,1.1675977975219172,1.1675977975219172,0.0,-0.04670884623903526
2025-06-16,11572204.815219162,0.9911122511347449,1.1572204815219174,1.1675977975219172,-0.008887748865255118,-0.04670884623903526
2025-06-17,11554883.910219163,0.9985032320740452,1.1554883910219174,1.1675977975219172,-0.010371213893774489,-0.04670884623903526
2025-06-18,11231443.910219163,0.9720083730383523,1.1231443910219174,1.1675977975219172,-0.0380725337049681,-0.04670884623903526
2025-06-19,11684753.910219163,1.040360794535736,1.1684753910219174,1.1684753910219174,0.0,-0.04670884623903526
2025-06-20,11671573.910219163,0.9988720344389561,1.1671573910219175,1.1684753910219174,-0.0011279655610437755,-0.04670884623903526
2025-06-23,11651403.910219163,0.9982718697448045,1.1651403910219176,1.1684753910219174,-0.002854146544826408,-0.04670884623903526
2025-06-24,12201883.910219163,1.047245808680376,1.2201883910219176,1.2201883910219176,0.0,-0.04670884623903526
2025-06-25,12517836.34571916,1.0258937421323429,1.2517836345719173,1.2517836345719173,0.0,-0.04670884623903526
2025-06-26,12446596.34571916,0.9943089206447117,1.2446596345719172,1.2517836345719173,-0.005691079355288453,-0.04670884623903526
2025-06-27,12328837.310719162,0.9905388564287698,1.2328837310719174,1.2517836345719173,-0.01509837880766296,-0.04670884623903526
2025-06-30,12319613.323219161,0.9992518363842808,1.2319613323219174,1.2517836345719173,-0.01583524636570177,-0.04670884623903526
2025-07-01,12371288.323219161,1.0041945310006286,1.2371288323219174,1.2517836345719173,-0.011707136796856754,-0.04670884623903526
2025-07-02,12322263.323219161,0.9960371952605788,1.2322263323219174,1.2517836345719173,-0.015623548439094415,-0.04670884623903526
2025-07-03,12371247.910719164,1.0039752914067093,1.2371247910719176,1.2517836345719173,-0.01171036519023727,-0.04670884623903526
2025-07-04,12361986.273219164,0.9992513578608367,1.2361986273219177,1.2517836345719173,-0.012450240456554185,-0.04670884623903526
2025-07-07,11993464.335719164,0.970189099926574,1.1993464335719175,1.2517836345719173,-0.04188998765583973,-0.04670884623903526
2025-07-08,11990316.698219165,0.9997375539367199,1.1990316698219174,1.2517836345719173,-0.04214143985676877,-0.04670884623903526
2025-07-09,11932877.340844164,0.9952095212477972,1.1932877340844172,1.2517836345719173,-0.046730040936750594,-0.046730040936750594
2025-07-10,12051242.340844164,1.0099192337790028,1.205124234084417,1.2517836345719173,-0.03727433335830177,-0.046730040936750594
2025-07-11,12278824.700844165,1.018884555929033,1.227882470084417,1.2517836345719173,-0.019093686662291165,-0.046730040936750594
2025-07-14,12367334.700844165,1.0072083446222597,1.236733470084417,1.2517836345719173,-0.012022975913602796,-0.046730040936750594
