label,ok,final,ret_1y,mdd_1y,ret_all,mdd_all,mar2026,trades,wins,losses,win_rate,avg_ret
baseline,True,26964918.28380718,144.09673581311205,-35.20355944105029,169.85139328111308,-35.20355944105029,-24.942781808956592,83,43,40,51.80722891566265,2.0463750794022446
regime_mild,True,26675216.680246934,149.22376207305112,-29.09633804990923,166.84220202985625,-29.09633804990923,-18.368107536825985,84,44,40,52.38095238095239,2.0951808296356327
ddguard_only,True,26234621.025173616,137.48580619228073,-33.251872129239665,162.54294418152915,-33.251872129239665,-23.781427895103658,83,43,40,51.80722891566265,2.0463750794022446
both_mild,True,26086850.1395912,143.7267149638251,-27.887077839748674,160.9565507456991,-27.887077839748674,-17.745244171273068,84,44,40,52.38095238095239,2.0951808296356327
regime_aggressive,True,25146190.461052276,142.74560680442056,-25.65615714089421,151.4993880793221,-25.65615714089421,-14.954210672400325,84,44,40,52.38095238095239,2.0951808296356327
both_aggressive,True,24554898.686605822,137.03764556039917,-23.837469861754236,145.58558894223415,-23.837469861754236,-14.300102439959705,84,44,40,52.38095238095239,2.0951808296356327
