month,n,net,avg,wr
2025-07,2,-100.06202830550603,-50.031014152753016,0.0
2025-08,2,-14.79959325514331,-7.399796627571655,50.0
2025-09,1,-31.79338736463565,-31.79338736463565,0.0
2025-10,6,-144.60187570326278,-24.100312617210463,50.0
2025-11,7,-349.413328805819,-49.91618982940271,0.0
2025-12,6,-157.58175319510107,-26.263625532516844,33.33333333333333
2026-01,1,-40.28350559194191,-40.28350559194191,0.0
2026-02,26,-719.3250770421079,-27.66634911700415,38.46153846153847
2026-03,11,-206.0975058306178,-18.736136893692528,36.36363636363637
