entry,exit,entry_price,exit_price,days_held,gross_ret_pct,status
2018-06-30 00:00:00+00:00,2019-06-26 00:00:00+00:00,6375.5412314436,12863.4606849795,361,101.56264599369325,
2019-12-18 00:00:00+00:00,2021-01-03 00:00:00+00:00,7284.6254836353,33277.8353050848,382,356.62287140008084,
2021-05-20 00:00:00+00:00,2024-03-05 00:00:00+00:00,40799.4021475745,63950.524329924,1020,56.54377800588879,
2024-08-06 00:00:00+00:00,2026-04-20 00:00:00+00:00,56047.4712866744,75814.1453237873,622,35.06773569499564,OPEN
