label,ticks,min_from_open,max_from_open,trades,wins,losses,win_rate,net_pnl,final_equity,return_pct,profit_factor,max_drawdown_pct,avg_trade_pnl,score
best_90_120,6,90,120,20,14,6,70.0,187.41250000000576,10187.412500000013,1.8741250000001264,1.7858378321715411,-0.9249228492881789,9.370625000000288,9.408780324464676
late_60_120,6,60,120,43,31,12,72.09302325581395,272.6696428571493,10272.669642857165,2.72669642857164,1.4910264944319744,-1.7352895875322516,6.341154485049984,7.029610017255096
exclude_0_30__30_120,6,30,120,61,43,18,70.49180327868852,333.13928571430154,10333.139285714324,3.331392857143234,1.383729970997824,-2.862094282517158,5.461299765808222,6.166959568240468
opening_all_0_120,6,0,120,75,53,22,70.66666666666667,270.2875000000203,10270.287500000048,2.702875000000482,1.2424347748091393,-2.854914826975663,3.603833333333604,4.128002558650394
core_30_90,6,30,90,42,30,12,71.42857142857143,193.7017857142956,10193.701785714311,1.9370178571431085,1.3076227181332931,-2.7633419834181994,4.6119472789118,4.04607534427967
