name,asset,trades,wins,losses,win_rate_pct,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_annualized,avg_days_held,avg_trade_ret_pct,time_in_market_pct
A_MVRV_Z,btc,4,4,0,100.0,228930.70345944035,2189.3070345944034,46.64405001927305,-76.66881595920356,0.9847717302343644,596.25,137.44925777366464,79.85274431057564
B_AddrMomentum,btc,38,17,21,44.73684210526316,93137.23582980139,831.3723582980139,31.37244592073458,-40.131440320668624,0.930679678605086,25.289473684210527,9.503767707038186,32.1619812583668
C_HashRibbon,btc,28,12,16,42.857142857142854,99424.67402927049,894.2467402927049,32.426062951258025,-66.6372629911112,0.7857090941500834,83.5,14.156018143636706,78.24631860776438
D_Ensemble,btc,25,11,14,44.0,343884.6994844576,3338.846994844576,54.124747642152826,-66.63726299111123,1.1017621972888962,82.96,25.603073910068456,69.41097724230254
Buy_and_Hold,btc,1,1,0,100.0,79921.9329965181,699.2193299651809,28.937096774136894,-76.66881595920351,0.7213707123932054,2987.0,699.2193299651809,100.0
A_MVRV_Z,eth,3,1,2,33.33333333333333,14125.86449097953,41.258644909795294,4.314293374788547,-83.415346002677,0.4223533316711232,792.3333333333334,24.893408201024872,79.58500669344043
B_AddrMomentum,eth,22,13,9,59.09090909090909,69164.47297903827,591.6447297903827,26.67788412405294,-74.46781195202274,0.7317073456189817,44.45454545454545,13.403881569636134,32.730923694779115
C_HashRibbon,eth,15,5,10,33.33333333333333,4302.042363856278,-56.979576361437225,-9.80015643157801,-89.25777153265422,0.14121302597641486,78.86666666666666,41.12359305841619,39.591700133868805
D_Ensemble,eth,29,16,13,55.172413793103445,12823.307649276194,28.233076492761946,3.08755387320232,-85.60757871318765,0.3591535668498493,48.10344827586207,5.151451042848102,46.68674698795181
Buy_and_Hold,eth,1,1,0,100.0,25087.248972334994,150.87248972334996,11.903860587303704,-91.50661517513282,0.5576789311412456,2987.0,150.87248972334996,100.0
