weekday,trades,wins,losses,win_rate,net_pnl,avg_trade_pnl
Monday,11,9,2,81.82,176.68035714285506,16.06185064935046
Tuesday,15,12,3,80.0,322.0017857142884,21.466785714285894
Wednesday,20,13,7,65.0,-76.69464285713183,-3.8347321428565913
Thursday,19,12,7,63.16,-136.35892857142028,-7.176785714285278
Friday,10,7,3,70.0,-15.341071428571006,-1.5341071428571005
