time,btc_A_MVRV_Z,btc_B_AddrMomentum,btc_C_HashRibbon,btc_D_Ensemble,btc_Buy_and_Hold,eth_A_MVRV_Z,eth_B_AddrMomentum,eth_C_HashRibbon,eth_D_Ensemble,eth_Buy_and_Hold
2018-02-14 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0,9990.0,10000.0,10000.0,10000.0,10000.0,9990.0
2018-02-15 00:00:00+00:00,10000.0,10000.0,10665.41113210293,10000.0,10664.735720970826,10000.0,10000.0,10092.182567110984,10000.0,10092.080384543873
2018-02-16 00:00:00+00:00,10000.0,10000.0,10752.559561165986,10000.0,10751.878631163732,10000.0,10000.0,10194.966277221907,10000.0,10194.86305397769
2018-02-17 00:00:00+00:00,10000.0,10000.0,11698.385992487445,10000.0,11697.645165900534,10000.0,10000.0,10584.517981858318,10000.0,10584.410814433253
2018-02-18 00:00:00+00:00,10000.0,10000.0,11029.860708264307,10000.0,11029.162217543633,10000.0,10000.0,9934.176343822215,10000.0,9934.075761055883
2018-02-19 00:00:00+00:00,10000.0,10000.0,11755.114895267021,10000.0,11754.370476194834,10000.0,10000.0,10178.694152316224,10000.0,10178.591093826011
2018-02-20 00:00:00+00:00,10000.0,10000.0,11867.582802752027,10000.0,11866.83126139681,10000.0,10000.0,9611.205342402522,10000.0,9611.10802969257
2018-02-21 00:00:00+00:00,10000.0,10000.0,11037.008222657594,10000.0,11036.309279304505,10000.0,10000.0,9124.041459557597,10000.0,9123.949079344242
2018-02-22 00:00:00+00:00,10000.0,10000.0,10424.201913831443,10000.0,10423.541777815239,10000.0,10000.0,8759.476356554449,10000.0,8759.387667534536
2018-02-23 00:00:00+00:00,10000.0,10000.0,10720.636488507402,10000.0,10719.957580105474,10000.0,10000.0,9287.928465316903,10000.0,9287.834425760306
2018-02-24 00:00:00+00:00,10000.0,10000.0,10222.05589104152,10000.0,10221.408556376564,10000.0,10000.0,9051.71269728664,10000.0,9051.621049396406
2018-02-25 00:00:00+00:00,10000.0,10000.0,10134.072839923178,10000.0,10133.431076982692,10000.0,10000.0,9141.891691795408,10000.0,9141.799130849835
2018-02-26 00:00:00+00:00,10000.0,10000.0,10882.41068252063,10000.0,10881.721529404256,10000.0,10000.0,9397.502059540842,10000.0,9397.406910560087
