Date,Total_Money,Ror,Cum_Ror,Highwatermark,Drawdown,MaxDrawdown
2020-01-06,9943569.129999999,1.0,0.9943569129999998,1.0,-0.005643087000000158,-0.005643087000000158
2020-01-07,9933878.029,0.9990253900914953,0.9933878028999998,1.0,-0.006612197100000161,-0.006612197100000161
2020-01-08,9744734.01175,0.9809597000589467,0.9744734011749999,1.0,-0.02552659882500008,-0.02552659882500008
2020-01-09,9744734.01175,1.0,0.9744734011749999,1.0,-0.02552659882500008,-0.02552659882500008
2020-01-10,9744734.01175,1.0,0.9744734011749999,1.0,-0.02552659882500008,-0.02552659882500008
2020-01-13,9735240.60475,0.9990257910591964,0.973524060475,1.0,-0.026475939525000047,-0.026475939525000047
2020-01-14,9755803.795125,1.0021122426460591,0.9755803795124999,1.0,-0.024419620487500127,-0.026475939525000047
2020-01-15,9755803.795125,1.0,0.9755803795124999,1.0,-0.024419620487500127,-0.026475939525000047
2020-01-16,9755803.795125,1.0,0.9755803795124999,1.0,-0.024419620487500127,-0.026475939525000047
2020-01-17,9755803.795125,1.0,0.9755803795124999,1.0,-0.024419620487500127,-0.026475939525000047
2020-01-20,9755803.795125,1.0,0.9755803795124999,1.0,-0.024419620487500127,-0.026475939525000047
2020-01-21,9748491.857625,0.9992505038381713,0.9748491857624998,1.0,-0.025150814237500208,-0.026475939525000047
2020-01-22,9613796.282625,0.9861829319891523,0.9613796282624998,1.0,-0.038620371737500214,-0.038620371737500214
2020-01-23,9613796.282625,1.0,0.9613796282624998,1.0,-0.038620371737500214,-0.038620371737500214
2020-01-28,9613796.282625,1.0,0.9613796282624998,1.0,-0.038620371737500214,-0.038620371737500214
2020-01-29,9608753.626125,0.9994754770798385,0.9608753626124998,1.0,-0.03912463738750016,-0.03912463738750016
2020-01-30,9590392.626125,0.9980891382259944,0.9590392626124998,1.0,-0.04096073738750017,-0.04096073738750017
2020-01-31,9637362.626125,1.004897609704951,0.9637362626124998,1.0,-0.03626373738750022,-0.04096073738750017
2020-02-03,9709661.305375002,1.0075019154155322,0.9709661305374999,1.0,-0.029033869462500084,-0.04096073738750017
2020-02-04,9709661.305375002,1.0,0.9709661305374999,1.0,-0.029033869462500084,-0.04096073738750017
2020-02-05,9695118.656875003,0.9985022496622051,0.9695118656875,1.0,-0.03048813431249997,-0.04096073738750017
2020-02-06,9648566.573375002,0.9951983998187592,0.9648566573374998,1.0,-0.03514334266250019,-0.04096073738750017
2020-02-07,9795693.073375002,1.0152485344720523,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-10,9795693.073375002,1.0,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-11,9795693.073375002,1.0,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-12,9795693.073375002,1.0,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-13,9795693.073375002,1.0,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-14,9795693.073375002,1.0,0.9795693073374998,1.0,-0.020430692662500194,-0.04096073738750017
2020-02-17,9786144.279625002,0.9990252048856091,0.9786144279624999,1.0,-0.021385572037500133,-0.04096073738750017
