Date,Total_Money,Ror,Cum_Ror,Highwatermark,Drawdown,MaxDrawdown
2024-09-23,111701079.4118897,1.003691837269793,11.170107941188977,11.786674181961326,-0.052310450874764935,-0.15857567165112485
2024-09-24,111780894.4118897,1.0007145409911904,11.178089441188979,11.786674181961326,-0.051633287844992215,-0.15857567165112485
2024-09-25,111771136.37188971,0.9999127038654384,11.17711363718898,11.786674181961326,-0.05171607659311017,-0.15857567165112485
2024-09-26,112178709.7418897,1.003646499295166,11.217870974188978,11.786674181961326,-0.04825815993478988,-0.15857567165112485
2024-09-27,112175333.77688971,0.9999699054748645,11.217533377688978,11.786674181961326,-0.048286802153518216,-0.15857567165112485
2024-09-30,112175333.77688971,1.0,11.217533377688978,11.786674181961326,-0.048286802153518216,-0.15857567165112485
2024-10-02,112070207.09288971,0.9990628360044902,11.20702070928898,11.786674181961326,-0.04917871349659131,-0.15857567165112485
2024-10-04,112002671.09288971,0.9993973777531792,11.20026710928898,11.786674181961326,-0.04975169955658909,-0.15857567165112485
2024-10-07,112226571.09288971,1.0019990594672006,11.22265710928898,11.786674181961326,-0.04785209669539647,-0.15857567165112485
2024-10-08,111567591.09288971,0.994128128538699,11.156759109288979,11.786674181961326,-0.053442986795748326,-0.15857567165112485
2024-10-10,110628646.12338972,0.9915840706041754,11.06286461233898,11.786674181961326,-0.06140914378799789,-0.15857567165112485
2024-10-11,110616344.14188972,0.9998887993125553,11.06163441418898,11.786674181961326,-0.06151351573643804,-0.15857567165112485
2024-10-14,109277428.14188972,0.9878958574305932,10.92774281418898,11.786674181961326,-0.0728730899414255,-0.15857567165112485
2024-10-15,109521893.14188972,1.0022371042598346,10.95218931418898,11.786674181961326,-0.07079901038152614,-0.15857567165112485
2024-10-16,109051768.14188972,0.9957074792398728,10.90517681418898,11.786674181961326,-0.07478762491979418,-0.15857567165112485
2024-10-17,108530756.81188972,0.9952223486250851,10.85307568118898,11.786674181961326,-0.07920796709568445,-0.15857567165112485
2024-10-18,108530756.81188972,1.0,10.85307568118898,11.786674181961326,-0.07920796709568445,-0.15857567165112485
2024-10-21,108449358.88438973,0.9992500012909605,10.84493588843898,11.786674181961326,-0.07989855993165651,-0.15857567165112485
2024-10-22,108613196.67188972,1.001510730807313,10.86131966718898,11.786674181961326,-0.07850853434029215,-0.15857567165112485
2024-10-23,110462256.67188972,1.017024266448817,11.046225667188981,11.786674181961326,-0.06282081809859041,-0.15857567165112485
2024-10-24,109342806.67188972,0.9898657692344169,10.93428066718898,11.786674181961326,-0.07231840819667967,-0.15857567165112485
2024-10-25,109827426.67188972,1.0044321159731542,10.98274266718898,11.786674181961326,-0.06820681579564714,-0.15857567165112485
2024-10-28,109987447.89876473,1.0014570242763956,10.99874478987648,11.786674181961326,-0.06684917050568151,-0.15857567165112485
2024-10-29,109064642.92026472,0.9916099064381475,10.906464292026477,11.786674181961326,-0.07467839327245918,-0.15857567165112485
2024-10-30,107887613.92026472,0.9892079690678445,10.788761392026478,11.786674181961326,-0.08466449267445464,-0.15857567165112485
2024-10-31,108639963.25226474,1.006973454177567,10.863996325226479,11.786674181961326,-0.07828144245701985,-0.15857567165112485
2024-11-01,109641243.25226474,1.0092164979628628,10.964124325226479,11.786674181961326,-0.06978642524909207,-0.15857567165112485
2024-11-04,109300078.86226474,0.9968883571557553,10.930007886226479,11.786674181961326,-0.072680917662585,-0.15857567165112485
2024-11-05,109247438.86226474,0.9995183901004652,10.924743886226478,11.786674181961326,-0.07312752371266618,-0.15857567165112485
2024-11-06,108729306.96476474,0.9952572627523723,10.872930696476478,11.786674181961326,-0.07752343632975511,-0.15857567165112485
2024-11-07,109374031.36976475,1.005929628570234,10.93740313697648,11.786674181961326,-0.07205349294244479,-0.15857567165112485
2024-11-08,107428406.36976475,0.9822112710335934,10.74284063697648,11.786674181961326,-0.08856048185181531,-0.15857567165112485
2024-11-11,108025961.36976475,1.0055623556207587,10.802596136976481,11.786674181961326,-0.08349073112506211,-0.15857567165112485
2024-11-12,110585651.36976476,1.0236951374238494,11.058565136976483,11.786674181961326,-0.061773918048838694,-0.15857567165112485
2024-11-13,113989736.36976476,1.030782338918616,11.398973636976484,11.786674181961326,-0.03289312481193296,-0.15857567165112485
2024-11-14,116475981.36976476,1.0218111303629567,11.647598136976484,11.786674181961326,-0.011799430682294387,-0.15857567165112485
2024-11-15,118676136.48851478,1.0188893460512294,11.867613648851487,11.867613648851487,0.0,-0.15857567165112485
2024-11-18,117110760.36851478,0.9868096808143776,11.711076036851486,11.867613648851487,-0.013190319185622523,-0.15857567165112485
2024-11-19,116935357.69151478,0.9985022496955185,11.693535769151485,11.867613648851487,-0.014668313685527568,-0.15857567165112485
2024-11-20,117074919.69151478,1.0011934970119831,11.707491969151485,11.867613648851487,-0.013492323262098926,-0.15857567165112485
2024-11-21,117787199.69151478,1.0060839674447508,11.778719969151485,11.867613648851487,-0.007490442672828723,-0.15857567165112485
2024-11-22,119117979.69151478,1.0112981716475586,11.911797969151484,11.911797969151484,0.0,-0.15857567165112485
2024-11-25,120033892.7305148,1.0076891250285809,12.003389273051486,12.003389273051486,0.0,-0.15857567165112485
2024-11-26,119916864.59651479,0.9990250409168788,11.991686459651484,12.003389273051486,-0.0009749590831211741,-0.15857567165112485
2024-11-27,120072048.59651479,1.0012940965436525,12.007204859651484,12.007204859651484,0.0,-0.15857567165112485
2024-11-28,119975058.59651479,0.9991922349861297,11.997505859651485,12.007204859651484,-0.0008077650138702541,-0.15857567165112485
2024-11-29,120203278.08401479,1.001902224430392,12.020327808401484,12.020327808401484,0.0,-0.15857567165112485
2024-12-02,122089403.08401479,1.0156911278133507,12.208940308401486,12.208940308401486,0.0,-0.15857567165112485
2024-12-03,121845898.0947648,0.9980055190450687,12.184589809476487,12.208940308401486,-0.001994480954931266,-0.15857567165112485
2024-12-04,122406824.13209859,1.004603569312588,12.240682413209866,12.240682413209866,0.0,-0.15857567165112485
2024-12-05,120904906.76879527,0.9877301173855921,12.090490676879535,12.240682413209866,-0.012269882614407868,-0.15857567165112485
2024-12-06,121801611.32879527,1.007416610160535,12.180161132879533,12.240682413209866,-0.004944273389939413,-0.15857567165112485
2024-12-09,126202896.32879527,1.0361348667885766,12.620289632879533,12.620289632879533,0.0,-0.15857567165112485
2024-12-10,123724361.32879527,0.9803607122173909,12.372436132879534,12.620289632879533,-0.01963928778260915,-0.15857567165112485
2024-12-11,124248466.32879527,1.0042360695530868,12.424846632879534,12.620289632879533,-0.015486411618542695,-0.15857567165112485
2024-12-12,119888445.21529527,0.9649088536677612,11.988844521529535,12.620289632879533,-0.05003412201451385,-0.15857567165112485
2024-12-13,118652353.54029527,0.9896896513022566,11.865235354029535,12.620289632879533,-0.05982860146750213,-0.15857567165112485
2024-12-16,118652353.54029527,1.0,11.865235354029535,12.620289632879533,-0.05982860146750213,-0.15857567165112485
2024-12-17,118652353.54029527,1.0,11.865235354029535,12.620289632879533,-0.05982860146750213,-0.15857567165112485
2024-12-18,118554041.13279527,0.9991714247162691,11.855404113279535,12.620289632879533,-0.06060760425079692,-0.15857567165112485
2024-12-19,119781657.86029528,1.0103549125425841,11.978165786029537,12.620289632879533,-0.05088027814964535,-0.15857567165112485
2024-12-20,119500095.06529528,0.9976493663551693,11.950009506529536,12.620289632879533,-0.053111310900799125,-0.15857567165112485
2024-12-23,119270181.66529529,0.9980760400242831,11.927018166529537,12.620289632879533,-0.05493308684008502,-0.15857567165112485
2024-12-24,116493681.66529529,0.9767209208434711,11.649368166529538,12.620289632879533,-0.07693337431975111,-0.15857567165112485
2024-12-26,116439921.66529529,0.9995385157441031,11.643992166529538,12.620289632879533,-0.07735935503464642,-0.15857567165112485
2024-12-27,118948086.66529527,1.021540421567868,11.894808666529537,12.620289632879533,-0.05748528658644314,-0.15857567165112485
2024-12-30,120088366.96129528,1.0095863693815321,12.008836696129539,12.620289632879533,-0.04844999239613179,-0.15857567165112485
2025-01-02,120973546.96129528,1.0073710720063775,12.097354696129539,12.620289632879533,-0.04143604877241458,-0.15857567165112485
2025-01-03,120752251.96129528,0.9981707157840812,12.075225196129539,12.620289632879533,-0.043189534678343855,-0.15857567165112485
2025-01-06,115055565.42379528,0.9528233515733855,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-07,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-08,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-09,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-10,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-13,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-14,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-15,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-16,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-17,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-20,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-21,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-22,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-23,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-24,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-01-31,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-03,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-04,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-05,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-06,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-07,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-10,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-11,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-12,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-13,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-14,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-17,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-18,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-19,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-20,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-21,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-24,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-25,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-26,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-27,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-02-28,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-04,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-05,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-06,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-07,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-10,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-11,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-12,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-13,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-14,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-17,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-18,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-19,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-20,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-21,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-24,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-25,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-26,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-27,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-28,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-03-31,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-01,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-02,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-03,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-04,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-07,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-08,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-09,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-10,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
2025-04-11,115055565.42379528,1.0,11.505556542379539,12.620289632879533,-0.08832864561172904,-0.15857567165112485
